146.91485857963562, 203.4, 15.0
152.40444111824036, -100.0, 14.5
213.46116018295288, 199.5, 14.5
277.80750274658203, 195.8, 14.0
342.1557574272156, 197.8, 13.5
# przypadkowy błąd, ta sama char.
37.631102561950684, 191.8, 13.0
101.77702784538269, 189.6, 12.5
166.32635712623596, 182.1, 12.0
230.6665563583374, 187.3, 12.0
295.21682929992676, 185.3, 11.5
359.5556342601776, 182.6, 11.0
423.8914489746094, 185.7, 11.0
488.2414126396179, 179.2, 10.5
552.5935373306274, 180.5, 10.5
617.1397712230682, 178.5, 10.5
681.487297296524, 179.9, 10.5
745.8341398239136, 176.0, 10.5
751.3160345554352, -100.0, 11.0
812.7707784175873, 182.4, 11.0
877.3202147483826, 178.8, 11.0
941.666684627533, 180.2, 11.0
1006.0014431476593, 178.7, 11.0
1070.3425769805908, 182.8, 11.0
1134.6811408996582, 189.5, 11.0
1199.2138240337372, 187.2, 10.5
1263.5487117767334, 187.0, 10.0
1327.8937048912048, 185.6, 9.5
1392.4428102970123, 183.2, 9.0
1456.779931306839, 179.4, 8.5
1521.1196630001068, 179.8, 8.5
1585.4661219120026, 181.9, 8.5
1650.0100042819977, 186.9, 8.5
1714.3563840389252, 182.3, 8.0
1778.8970692157745, 183.2, 8.0
1843.2305843830109, 174.7, 7.5
1907.570657491684, 178.5, 8.0
1971.9136214256287, 183.9, 8.0
2036.4594242572784, 178.3, 7.5
2101.198086977005, 180.8, 7.5
2165.534875869751, 178.9, 7.5
2229.879925966263, 174.4, 7.5
2235.3699157238007, -100.0, 8.0
2296.8187074661255, 175.4, 8.0
2361.1637904644012, 185.5, 8.5
2425.505104780197, 183.9, 8.0
2489.8599853515625, 184.0, 7.5
2554.4005641937256, 185.3, 7.0
2618.9411668777466, 181.0, 6.5
2683.682987689972, 173.6, 6.5
2748.4239304065704, 182.6, 7.0
2753.9193091392517, -100.0, 7.0
2815.1649191379547, 180.4, 7.0
2879.520960330963, 185.3, 7.0
2943.8661160469055, 179.3, 6.5
3008.2063682079315, 177.3, 6.5
3072.7496540546417, 174.4, 6.5
3137.093672990799, 176.8, 7.0
3142.5889933109283, -100.0, 7.5
3204.0405390262604, 182.0, 7.5
3268.383221387863, 181.9, 7.5
3332.727561235428, 179.5, 7.5
3397.0685074329376, 181.6, 7.5
