232.99578428268433, 192.0, 16.0
297.3433141708374, 196.3, 15.5
302.8447160720825, -100.0, 15.0
364.0862350463867, 194.7, 15.0
428.6320250034332, 199.9, 14.5
492.9725749492645, 193.8, 14.0
557.5133972167969, 203.8, 13.5
621.850813627243, 196.4, 13.0
627.351459980011, -100.0, 12.5
688.5891506671906, 192.6, 12.5
752.9313225746155, 196.6, 12.0
817.4820368289948, 196.1, 11.5
881.8254098892212, 187.3, 11.0
946.1701786518097, 190.6, 10.5
1010.5128393173218, 192.6, 10.0
1074.8557667732239, 189.7, 9.5
1139.4023728370667, 183.2, 9.0
1203.745129585266, 189.4, 8.5
1268.0861430168152, 182.5, 8.0
1332.429316520691, 188.3, 8.0
1396.9777092933655, 180.8, 7.5
1461.326988697052, 177.5, 7.5
1525.6695713996887, 179.4, 7.5
1590.2120156288147, 184.6, 7.5
1654.5523464679718, 184.2, 7.0
1718.8985068798065, 184.4, 6.5
1783.2327826023102, 182.1, 6.0
1847.772145986557, 183.8, 6.0
1912.1125240325928, 174.4, 5.5
1976.647432088852, 181.9, 6.0
2041.1889381408691, 179.3, 6.0
2105.730355978012, 179.9, 6.0
2170.081310272217, 178.8, 6.0
2234.425255537033, 181.6, 6.0
2298.9706354141235, 179.5, 6.0
2363.3117830753326, 182.7, 6.0
2427.6540789604187, 184.7, 6.0
2492.1930146217346, 184.2, 5.5
2556.7332940101624, 177.9, 5.0
2621.276208639145, 183.1, 5.0
2685.819375514984, 172.4, 4.5
2750.361081838608, 182.5, 5.0
2755.8604753017426, -100.0, 5.0
2817.301261663437, 181.4, 5.0
2881.638109445572, 177.2, 5.0
2945.977769613266, 179.3, 5.0
2951.4778246879578, -100.0, 5.0
3012.721883058548, 180.7, 5.0
3077.059738636017, 182.4, 5.0
3141.6003057956696, 180.4, 5.0
3205.9374463558197, 176.5, 5.0
3270.4757211208344, 183.8, 5.5
